Customer_ID,Age_Group,Income_Level,City_ID,Preferred_Flavor,Purchase_Frequency,Price_Sensitivity,Preferred_Channel,Active
cust_000001,26-35,362798.6815981729,CT015,Guava,2.0,Medium,E-commerce,True
cust_000002,36-45,402562.3440898918,CT002,Orange,3.0,Low,General Trade,True
cust_000003,46-55,373492.50908154395,CT011,Orange,3.0,Medium,Modern Trade,True
cust_000004,18-25,442767.5234876689,CT017,Mixed Fruit,2.0,Low,Modern Trade,False
cust_000005,36-45,643181.5703144688,CT008,Guava,4.0,Medium,Modern Trade,False
cust_000006,46-55,227346.96214914176,CT016,Orange,0.0,Medium,General Trade,True
cust_000007,46-55,178286.3372101437,CT008,Orange,4.0,High,Modern Trade,False
cust_000008,36-45,186054.3672244215,CT009,Orange,4.0,Low,HoReca,True
cust_000009,55+,159769.9061533943,CT018,Orange,3.0,Medium,General Trade,True
cust_000010,36-45,196468.55833136418,CT020,Mixed Fruit,1.0,High,General Trade,True
cust_000011,36-45,68795.2500394582,CT009,Mixed Fruit,2.0,Medium,General Trade,True
cust_000012,18-25,215117.92931240657,CT016,Mixed Fruit,2.0,High,Q-commerce,True
cust_000013,36-45,822652.8845054975,CT012,Guava,9.0,Medium,General Trade,True
cust_000014,18-25,142313.2882421142,CT010,Apple,1.0,High,E-commerce,False
cust_000015,18-25,469542.95971072675,CT007,Guava,2.0,Low,E-commerce,True
cust_000016,26-35,633767.0665115784,CT008,Mixed Fruit,2.0,Low,Modern Trade,False
cust_000017,18-25,240640.29878169842,CT014,Guava,0.0,Low,Q-commerce,True
cust_000018,18-25,89688.71173179429,CT009,Mixed Fruit,2.0,Medium,Q-commerce,True
cust_000019,26-35,122728.83274935286,CT020,Orange,3.0,High,E-commerce,True
cust_000020,46-55,300809.73504150694,CT018,Orange,1.0,High,Q-commerce,True
cust_000021,36-45,306414.2294414281,CT007,Apple,7.0,High,General Trade,True
cust_000022,26-35,266631.1467466164,CT020,Apple,3.0,High,E-commerce,True
cust_000023,55+,930239.4985859256,CT006,Guava,2.0,Medium,General Trade,True
cust_000024,18-25,462762.3456850793,CT005,Guava,0.0,Medium,Q-commerce,True
cust_000025,36-45,87846.60371252755,CT019,Mixed Fruit,4.0,Low,HoReca,True
cust_000026,18-25,204532.25973041524,CT014,Mixed Fruit,0.0,Medium,E-commerce,True
cust_000027,55+,438009.90560989105,CT003,Guava,1.0,Medium,Q-commerce,True
cust_000028,26-35,151523.45456791238,CT020,Orange,4.0,High,Q-commerce,True
cust_000029,46-55,237648.74968348775,CT002,Orange,1.0,High,General Trade,True
cust_000030,18-25,213989.6822779259,CT020,Orange,5.0,Medium,E-commerce,False
cust_000031,26-35,307483.4007445496,CT016,Guava,2.0,High,Modern Trade,True
cust_000032,46-55,493046.0019240291,CT017,Mixed Fruit,7.0,Medium,E-commerce,True
cust_000033,26-35,141919.10947075786,CT009,Orange,3.0,High,Q-commerce,False
cust_000034,36-45,346916.80539635936,CT015,Orange,4.0,Medium,General Trade,True
cust_000035,26-35,478821.9837437456,CT014,Orange,1.0,Low,Q-commerce,True
cust_000036,46-55,145251.06898028468,CT020,Orange,5.0,High,General Trade,True
cust_000037,55+,384290.68447517994,CT020,Guava,3.0,Medium,General Trade,False
cust_000038,26-35,128633.91712157756,CT019,Mixed Fruit,4.0,Medium,Q-commerce,True
cust_000039,18-25,284216.5716992183,CT018,Apple,1.0,High,Q-commerce,False
cust_000040,36-45,148557.54926261774,CT004,Guava,2.0,High,Q-commerce,True
cust_000041,18-25,343100.8044374009,CT015,Mixed Fruit,4.0,Medium,Modern Trade,False
cust_000042,36-45,265845.55808909563,CT016,Orange,8.0,Medium,General Trade,True
cust_000043,55+,344355.904029426,CT002,Guava,2.0,High,E-commerce,True
cust_000044,26-35,249561.73259451758,CT016,Mixed Fruit,5.0,Medium,E-commerce,True
cust_000045,26-35,233335.6540578828,CT001,Guava,3.0,Low,E-commerce,True
cust_000046,26-35,146324.59722355046,CT010,Mixed Fruit,6.0,Low,Q-commerce,True
cust_000047,46-55,173477.2081176597,CT017,Apple,3.0,High,Q-commerce,False
cust_000048,55+,202431.16832665942,CT006,Orange,4.0,High,HoReca,True
cust_000049,18-25,84679.16597359542,CT019,Apple,4.0,Low,E-commerce,True
cust_000050,18-25,503117.2316945363,CT017,Mixed Fruit,,Low,E-commerce,False
cust_000051,18-25,226267.6106002205,CT016,Mixed Fruit,3.0,High,E-commerce,True
cust_000052,46-55,381287.961334285,CT016,Apple,2.0,Low,E-commerce,True
cust_000053,55+,70744.33542306384,CT003,Orange,3.0,High,General Trade,True
cust_000054,36-45,305333.6369126093,CT011,Mixed Fruit,4.0,High,General Trade,True
cust_000055,46-55,140445.6812555542,CT009,Orange,3.0,Low,Modern Trade,True
cust_000056,46-55,182785.61947308193,CT009,Orange,3.0,Low,E-commerce,False
cust_000057,46-55,281201.60919516056,CT007,Apple,2.0,Low,General Trade,True
cust_000058,36-45,244007.4101160942,CT018,Guava,2.0,High,General Trade,True
cust_000059,18-25,609577.9718352892,CT001,Mixed Fruit,1.0,Low,Q-commerce,True
cust_000060,18-25,186479.65689114106,CT019,Mixed Fruit,5.0,Low,E-commerce,True
cust_000061,18-25,668611.0399583798,CT004,Apple,3.0,Low,E-commerce,True
cust_000062,18-25,287699.27127999306,CT002,Orange,3.0,Low,Q-commerce,False
cust_000063,26-35,349912.6763554575,CT012,Mixed Fruit,6.0,High,Q-commerce,False
cust_000064,18-25,487838.52938582824,CT012,Mixed Fruit,3.0,Medium,Q-commerce,True
cust_000065,18-25,103553.97368079069,CT014,Guava,0.0,High,E-commerce,False
cust_000066,46-55,260248.61122334772,CT011,Mixed Fruit,4.0,High,Modern Trade,True
cust_000067,26-35,105068.71446128059,CT019,Orange,2.0,Medium,E-commerce,True
cust_000068,46-55,208512.48449205887,CT003,Apple,4.0,Low,Modern Trade,False
cust_000069,55+,559357.6100483864,CT006,Orange,2.0,High,E-commerce,True
cust_000070,26-35,380125.06127344485,CT011,Apple,3.0,High,Q-commerce,True
cust_000071,26-35,183101.29004900638,CT020,Orange,1.0,Medium,E-commerce,True
cust_000072,36-45,207781.63671995996,CT019,Guava,5.0,High,Q-commerce,True
cust_000073,36-45,265030.0322663807,CT017,Guava,5.0,High,Q-commerce,True
cust_000074,36-45,399514.38576852443,CT016,Guava,2.0,Low,Modern Trade,True
cust_000075,36-45,304557.5153899264,CT011,Guava,6.0,Medium,General Trade,True
cust_000076,26-35,87914.36906507595,CT019,Orange,2.0,High,Q-commerce,True
cust_000077,46-55,306601.45391360775,CT002,Orange,3.0,Medium,Modern Trade,True
cust_000078,46-55,530738.57450718,CT014,Guava,6.0,Medium,HoReca,True
cust_000079,36-45,836487.1284066879,CT002,Orange,4.0,Low,General Trade,True
cust_000080,26-35,491057.50162821106,CT002,Guava,2.0,Medium,Q-commerce,False
cust_000081,18-25,249827.0749028499,CT020,Mixed Fruit,2.0,Low,E-commerce,False
cust_000082,36-45,78383.14331133942,CT013,Orange,2.0,Medium,General Trade,True
cust_000083,55+,267850.1060155228,CT007,Mixed Fruit,1.0,Low,General Trade,False
cust_000084,46-55,291165.59661897016,CT018,Guava,5.0,Medium,HoReca,True
cust_000085,18-25,553230.8934936798,CT008,Guava,1.0,Low,Q-commerce,False
cust_000086,46-55,752364.3651846872,CT006,Orange,4.0,Low,General Trade,False
cust_000087,36-45,891863.3163576949,CT007,Mixed Fruit,,Low,Modern Trade,False
cust_000088,36-45,425980.1516537829,CT006,Mixed Fruit,4.0,Low,General Trade,True
cust_000089,26-35,1365086.7778711051,CT011,Apple,1.0,High,E-commerce,True
cust_000090,36-45,134600.968060024,CT007,Apple,2.0,Low,Modern Trade,True
cust_000091,36-45,392276.20718276605,CT015,Guava,3.0,Low,Modern Trade,False
cust_000092,36-45,516168.279315149,CT012,Orange,2.0,Medium,Modern Trade,True
cust_000093,55+,198112.74255852267,CT018,Apple,3.0,Low,Modern Trade,True
cust_000094,46-55,151474.6526441308,CT019,Mixed Fruit,,High,Modern Trade,True
cust_000095,36-45,143528.67216233286,CT010,Orange,4.0,Medium,General Trade,True
cust_000096,26-35,79443.94682280802,CT009,Mixed Fruit,2.0,Low,General Trade,False
cust_000097,36-45,504462.8144540105,CT006,Orange,8.0,Medium,Modern Trade,True
cust_000098,36-45,175304.2281959377,CT008,Apple,2.0,High,E-commerce,True
